state,city,zip_codes,latitude,longitude,id,name,review_count,categories,rating,price,high_value,agi_sum,aff_perc,count,affluent,has_tj,has_equinox,clusters
NY,New York,10001,40.747503631444,-73.9862447208321,gXnC_aZR09BvqEQKGKFjBg,BCD Tofu House,2007,korean,4.0,2,1983127.0,2785807.0,0.7118680511607588,175,1,0,1,7
NY,New York,10016,40.744722,-73.981202,Va_mnsEvBghHXvc7uZIWJQ,Spice Symphony,592,"indpak,chinese,salad",4.0,2,6400951.0,8331163.0,0.768314219755393,197,1,1,1,7
NY,New York,10016,40.75031,-73.9783999,LHxZgTddXIp_S1sL3nNG9w,Park Avenue Tavern,755,"tradamerican,cocktailbars,salad",4.0,2,6400951.0,8331163.0,0.768314219755393,197,1,1,1,7
NY,New York,10017,40.752758,-73.977914,oAFaJmLbqnpgIqHP2YAywg,The Campbell,889,"cocktailbars,lounges",4.0,3,5233774.0,5902708.0,0.8866733709341543,152,1,0,0,7
NY,New York,10018,40.7515934305237,-73.98588180542,_zGsfwGAY8ZTob_mIFAM-w,Pokeworks,1743,"sushi,poke,salad",4.0,2,2087031.0,2425716.0,0.8603773071538465,117,1,0,0,7
NY,New York,10036,40.760835,-73.987823,SaYTVG7wHCMDBofHCgXPaA,Dutch Freds,1548,"cocktailbars,newamerican,breakfast_brunch",4.5,2,4610306.0,5666105.0,0.8136640602318523,187,1,0,1,7
NY,New York,10065,40.7667736797858,-73.967607,DZaN3bNWfwcm__sNw5bvDg,Daniel,1580,"french,tradamerican,cocktailbars",4.5,4,9612120.0,10451654.0,0.9196745318970567,108,1,0,0,2
NY,New York,10017,40.75202,-73.96977,diz6_4TVSP6EdWEZCZ0Acg,Kaoru,330,japanese,4.5,2,5233774.0,5902708.0,0.8866733709341543,152,1,0,0,7
NY,New York,10017,40.753969,-73.968722,9bAyxRD6RsGEUQw424ovQA,Nishida Sho-ten,762,ramen,4.0,2,5233774.0,5902708.0,0.8866733709341543,152,1,0,0,7
NY,New York,10017,40.753781,-73.9689989,U3Ueh2bHtp3DLjrdc5w5fQ,Remi Flower & Coffee,263,"coffee,florists",4.5,2,5233774.0,5902708.0,0.8866733709341543,152,1,0,0,7
